# Note: auto-generated file (changes will be lost on update)
Caption; npn HICUM L0 v1.2
Description; HICUM Level 0 v1.2 verilog device
Schematic entry; ``hicumL0V1p2``
Netlist entry; ``T``
Type; AnalogComponent
Bitmap file; npnsub_therm
Properties; 94
Category; verilog-a devices
