# Note: auto-generated file (changes will be lost on update)
Caption; HICUM L2 v2.1
Description; HICUM Level 2 v2.1 verilog device
Schematic entry; ``hicumL2V2p1``
Netlist entry; ``T``
Type; AnalogComponent
Bitmap file; npnsub_therm
Properties; 101
Category; verilog-a devices
