# Note: auto-generated file (changes will be lost on update)
Caption; HICUM L2 V2.31
Description; hicumL2V2p31n verilog device
Schematic entry; ``hicumL2V2p31n``
Netlist entry; ``T``
Type; AnalogComponent
Bitmap file; hicumL2V2p31n
Properties; 129
Category; verilog-a devices
