# Note: auto-generated file (changes will be lost on update)
Caption; HICUM L2 v2.23
Description; HICUM Level 2 v2.23 verilog device
Schematic entry; ``hicumL2V2p23``
Netlist entry; ``T``
Type; AnalogComponent
Bitmap file; npnsub_therm
Properties; 114
Category; verilog-a devices
