# Note: auto-generated file (changes will be lost on update)
Caption; HICUM L2 v2.24
Description; HICUM Level 2 v2.24 verilog device
Schematic entry; ``hicumL2V2p24``
Netlist entry; ``T``
Type; AnalogComponent
Bitmap file; npnsub_therm
Properties; 114
Category; verilog-a devices
