# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
Num; "1"; yes; "number of the port"
init; "low"; no; "initial output value [low, high]"
times; "1ns; 1ns"; no; "list of times for changing output value"
V; "1 V"; no; "voltage of high level"
