# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
Subst; "Subst1"; yes; "name of substrate definition"
W; "1 mm"; yes; "width of the line"
MSModel; "Hammerstad"; no; "quasi-static microstrip model [Hammerstad, Wheeler, Schneider]"
MSDispModel; "Kirschning"; no; "microstrip dispersion model [Kirschning, Kobayashi, Yamashita, Hammerstad, Getsinger, Schneider, Pramanick]"
Model; "Kirschning"; no; "microstrip open end model [Kirschning, Hammerstad, Alexopoulos]"
